"序號",標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-648,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Adolw,不同意，這根本就是一坨超大的笑話,2025-09-14 23:25:09,其他想法,2,2
M-649,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,DA甘玄,認為高中生應該減短上課時間，讓學生有更多的休息時間，但早上改成9：00上課就好，放學時間改成16：00，直接規定不用上輔導課，輔導課本身也不能上正課，只是花錢多複習而已，自己複習就可以了，且現在17：00-17：30放學，很多人要趕18：30的補習，除了吃晚餐，還要洗澡，寫功課......有時根本來不及，且還要補3小時，回家整理沒多久，有些人就要睡覺了。,2025-09-14 23:25:24,其他想法,0,0
M-650,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,幻滅,"我也曾是學生 首先，我看不起有些反對的單純是因為之前吃過屎所以也要讓現在的學生吃那屎，這很明顯不是對的，既沒有合理理由，也沒有實質建議。

我認為單純把時間縮短是並不能改善學生學習狀況的，必須要有一個完整的，體制上的改革，可以先從實驗學校開始。

其實這議題比較麻煩的一個點就是屬於家長接送的部分，你不能因為學生有通勤能力就忽略掉那些需要家長上下班接送的學生吧? 另外就是真的每個縣市的公共交通都能負擔這麼多學生通勤上下學嗎?  也不是所有學生家附近就能有可以順利到學校的公共路線。

其次 晚自習以及第八節才是真正的陋習吧，學校半強迫將你留在那上課，不然17:00左右下課其實不太會影響到睡眠問題才對，到家吃個飯洗個澡可能也才19:00左右吧 ，對於睡眠時間可以肯定是充足的，作業量或考試太多導致要讀比較晚那就是另外的問題了。

題外話:我覺得補習班的文化才可怕，那才是真正想把學生改成考試機器的毒瘤!",2025-09-14 23:26:08,贊成論點,1,0
M-651,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,高一生，我覺得改到8:30-16:30對於國中高中生都算可以了，10.不睡覺熬夜的照常熬夜（單指滑手機，而非做作業的人），而且改下去，真的會被罵很慘,2025-09-14 23:27:16,贊成論點,0,1
M-652,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,真的不理解,而且現在星期日晚上11：25還看到有人在留言支持，請問假如不夠睡，這個時間不是應該已經要躺在床上睡覺了嗎？？？,2025-09-14 23:27:22,其他想法,0,1
M-653,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,蘇小育,我覺得10:00上課可以避免一些學生上課睡覺 不然上課睡覺好像也不用上課了,2025-09-14 23:29:33,其他想法,1,0
M-654,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,N,這樣絕對增加學習的效率 一定會,2025-09-14 23:31:11,其他想法,1,0
M-655,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,瑜,移除多元課程根本只是讓其他主科老師另外找時間考試而已 10點到16點上課的話 還是會有老師說10前到校「練習」題目或「自主學習」」,2025-09-14 23:32:07,其他想法,0,0
M-656,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"蘿莉島冤魂索命●影片02:32(特殊的服務)●08:28(愛潑斯坦)●13:53(理念差異)●https://www.youtube.com/watch?v=rvGEe9fTlnE
加密法案幣圈推手(美聯儲、華爾街、大型銀行的角色與利益沖突)●影片15:35●影片17:29●影片21:18●https://reurl.cc/Y34qNa

經濟自毀●影片23:14(法律被用來為統治集團攫取資源清場/權力尋租的工具)●影片25:16(為何衰亡)●https://reurl.cc/ek7O4m

https://money.udn.com/money/story/5599/8988086?from=edn_newest_index

川普曾是愛潑斯坦名流交際圈中人，為何全身而退，他發現了什麼？●https://www.youtube.com/watch?v=K0AbOL6IdKU

https://money.udn.com/money/story/5599/8981906?from=edn_hottest_index

次級房貸如何形成、金融機構如何放大風險、政府如何介入救市&hellip;真正的問題從未被解決●影片16:21●https://www.youtube.com/watch?v=pqhfJnjk5EY

https://money.udn.com/money/story/5613/8982120?from=edn_maintab_cate

總會覺醒●https://newsveg.tw/blog/336

金融複合體/美債是通脹的轉嫁/隱形化的成本●影片37:25●影片41:36●https://reurl.cc/0WlXbk

「最後貸款人」的真相●影片15:44(實體經濟與金融市場的脫節)●https://reurl.cc/gYpMop

（無中生錢系統）一旦信任蕩然無存，將回天乏術。台灣雖然不是IMF國際貨幣基金組織、世界銀行、聯合國的會員，卻也無法逃脫全球結算的反噬。國際政經協議影響您我！醒悟無國界【實名制UBI與碳權】才是全球和平的轉機！還能被騙多久？全球勞工都應該一起從被治理覺醒與齊心改革！人類社會需要全球團結互助的平等尊嚴！而非價值觀與全球產業鏈利益分工之束縛醒悟，甚至低薪人礦爆肝窮忙、戰役難民的貧困世襲化、高齡少子與產業失衡的晶片籌碼物美價廉國際孤兒！",2025-09-14 23:33:30,其他想法,0,0
M-657,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"地緣金融權謀(任何產業技術不會獨立於權力結構而存在/權力.資本.政治.制度的合謀)誰在操控？●影片17:29●影片24:13●影片29:10(股東和資本結構與政策遊說記錄的加密貨幣成為主權博弈的新戰場/國家權力的金融代理戰爭/交易入口的控制權)●https://www.youtube.com/watch?v=tPSegtoWTJk

https://money.udn.com/money/story/5628/8997345?from=edn_maintab_cate

https://money.udn.com/money/story/5628/8970208?from=edn_subcatelist_cate

https://money.udn.com/money/story/5628/8989808?from=edn_subcatelist_cate

世界上有兩種行使權力的方法●https://reurl.cc/NlzzlQ

普通人財富正被合法搶劫●影片28:01●‪https://reurl.cc/A362jE
全球數字貨幣大洗牌開始●影片19:38●https://reurl.cc/koMyOb

利率的對沖投資與融資之人為炒作價值已反噬身心靈的剝削虛假繁榮、股匯債房地產抵押物權/債權已串聯國際結算支付(印新還舊合法治國卻拉攏各國財閥資本家與政客政見政策補貼之精英節稅劫貧濟富社會固化的圖利自身權勢)錯配失衡已空心化殭屍企業、爛尾樓、連動全球人口結構之生而信用價值安全不平等！

有尊嚴的活著●https://crossing.cw.com.tw/article/14327

最深層的矛盾，生產力和消費力不再同步產生的根本性矛盾。更重要的是，這個矛盾不是在縮小，而是在擴大。●引用●Eric Hsu●【生產力對社會的重塑》生產力與消費力的錯配】https://www.facebook.com/share/p/1MDgKv3hXr/

【商業操作找回倫理道德】●https://vocus.cc/article/5b112f97fd89780001444330

以貨幣緊縮對抗通膨的能與不能●https://www.businesstoday.com.tw/article/category/183017/post/202212170011/

●",2025-09-14 23:33:49,其他想法,0,0
M-658,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,不贊同,可以早點睡但不早睡，延後上課時間也只是更晚睡覺而已，到時候更多長不高、荷爾蒙失調、其他身心狀況也會產生，所以完全不贊同這個想法。,2025-09-14 23:35:24,其他想法,0,1
M-659,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,BETTY,我自己是支持的，我是高一生，我自己基本上每天放學回家就在打文書處理那類的東西，甚至有些人要賺錢然後又要顧功課，其實基本上睡覺根本就沒啥時間，甚至有的時候沒睡，整個免疫力超低超容易感冒的,2025-09-14 23:35:37,其他想法,3,0
M-660,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,皇帝,否決，請不要通過，不愛上課喜歡熬夜不睡覺的，就酸中午上課，也會覺得上課時數太長,2025-09-14 23:35:59,其他想法,0,2
M-661,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,路過,"精神狀況不太好 不是因為幾點起床上學而是晚上幾點睡覺的關係吧 自控率不好 幾點上課都一樣 政策亂改 改到現在學生自律性超差 老師也不好教學 進度一直追趕 厚厚一本能跳就跳 聽不懂的學生 怎麼辦 ⋯
 乾脆說自主學習不是更好 想幾點就幾點上課 以後未來主人翁上班時可以跟老闆說為了我身體健康 精神狀態著想 10點上班嗎
不要讓孩子一直生長在溫室花朵",2025-09-14 23:36:09,贊成論點,0,1
M-662,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,哇嗚,欸真的是睡覺都睡不飽然後到學校月經來又很累還被老師罵說我在瞪他還要寫檢討負擔很重欸,2025-09-14 23:38:48,其他想法,3,0
M-663,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,痾,我是國、高中生，在我的看來，把課程改到10.，課程又要一直趕，老師趕課，學生又聽不懂，又要在補習班留更長時間，那這樣是有用嗎？把社團跟所有藝能課都改成上正課，都不用上放鬆，連體育都不要上啊，都把時間拿去上正課，不然課程會上不完，，比起這種是我倒覺的把學習歷程廢除掉比較好吧，把學習歷程變成另外的加分項，不要在把它列成一定要的東西,2025-09-14 23:39:10,贊成論點,1,0
M-664,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,贊成，把不必要的課程刪除，但不用每天沒關係 畢竟有些課可能會塞到,2025-09-14 23:40:19,其他想法,3,0
M-665,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,改你老母,對於正在建立認知功能階段的人無法自主有效運用多餘時間,2025-09-14 23:42:00,其他想法,2,1
M-666,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,有沒有可能,"我不覺得這樣可以降低自殺率跟憂鬱症。有點倒因為果，應該是憂鬱症導致睡眠品質不佳。加上自殺原因，現在大多是人際壓力不是課業壓力。
國高中生睡眠不足，有沒有可能是暴露藍光時間過高，影響睡眠週期，導致慢性失眠。",2025-09-14 23:42:19,其他想法,0,1
M-667,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,inshit,而且我想在說一下我們學校每個禮拜都要升旗每次都講一樣的話老師校長主任都在沒太陽的地方我們學生卻要在太陽底下曬半個小時完全不把我們當人可以看看其它歐美國家我們每天上這麼多課還有那麼多補習也不見得比別人厲害多少每天六點起大概睡六個小時累死人我還這麼年輕黑眼圈快要跟熊貓肩並肩了我們又不是機器人就算是機器人每天也要充電,2025-09-14 23:44:18,其他想法,2,0
M-668,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,匿名,"同意✅ 六點就要起床七點到學校 還
要晚自習到九點才能回家住校生更是9.半多才能到宿舍休息 回家也要一段時間 洗澡吃飯完就11.多了 甚至考試的時候也要學習到12.1.多才能上床睡覺",2025-09-14 23:44:41,其他想法,2,0
M-669,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,木子,"你各位要10點上課乾脆不要上了
就算要10點上課下課時間也必須是18點
課綱就教不完 是在 😒",2025-09-14 23:45:23,贊成論點,0,2
M-670,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,陽,現在國高中的課業壓力真的太大了，除了國英數社自之外，還有生活科技，音樂，文學課，還有閩南語課等一大堆對學業沒幫助的東西，如果把這些課程排掉得話我覺得可以讓我們更好的去面對和學習各個主科，也可以讓學生壓力不會那麼大，除此之外很多學生因為這些非主要科目而導致期末成績被當，還要重補修，這樣不僅沒辦法好好的應對主要科目還要犧牲寒暑假休息的時間來補救這些非主科的課程。如果把這些課程移除掉的話，學生在校就時間就不會那麼久，可能一天就只要上5堂課，這樣老師和學生就有更多的時間休息和應對主要科目的功課與考試，如果學生真的對其他的科目有興趣的話，學校也可以加開6.7節請外校專業人士來教學，如果對這些東西都沒興趣的話就可以好好回家休息。,2025-09-14 23:46:20,其他想法,3,0
M-671,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"用慷慨的納稅人資金補貼來酬賞企業，為政客帶來政治資本，還讓有關係的承包商與供應商賺大錢。公共補貼支出開出創造就業的支票來換取民眾支持，但最終只有少數人的荷包滿滿。我們現在的經濟發展方式，完全符合政治學家雅各布．海克（Jacob Hacker）和保羅．皮爾森（Paul Pierson）所提出的「財閥民粹主義」（Plutocratic Populism）。財閥民粹主義指的是大多數選民最終支持一個集中財富的過程。現代經濟發展就像一台低調運作的機器，穩定地從公共資金中掏錢，去富上加富，推動美國日益加劇的收入差距，這不僅是國家的恥辱，也對共和體制構成了潛在的威脅。我們每天都在被富士「坑」（Foxconned）【https://www.cite.com.tw/book?id=104102&amp;srsltid=AfmBOopGdkyq5ErU52j-dv9lRrWVjOy9sHebY1faR14oRFK5ZWh3zKVK】

《富士坑：美國製造的真實故事》書評【https://www.cna.com.tw/news/ahel/202507195003.aspx】



商業未來本質●影片00:40●https://reurl.cc/bmd1NX

錢去哪裡了？●影片07:34●https://reurl.cc/VWnXRb

(每個人都困在算法裡/大數據/作繭自縛)變天了●影片42:21●https://www.youtube.com/watch?v=lE74eos-b4A



金融狂歡的泡沫(穩定幣)未來海嘯吞沒信用●https://youtu.be/3mUdydbgw3U?si=FWBCTFv61dI71rKr

&rdquo;無王無帝定乾坤，來自田間第一人&rdquo;東方聖人真實身份曝光，竟只是普通人?●https://www.youtube.com/watch?v=IZI2zzCGVUs



地緣金融權謀(任何產業技術不會獨立於權力結構而存在/權力.資本.政治.制度的合謀)誰在操控？●影片17:29●影片24:13●影片29:10(股東和資本結構與政策遊說記錄的加密貨幣成為主權博弈的新戰場/國家權力的金融代理戰爭/交易入口的控制權)●https://www.youtube.com/watch?v=tPSegtoWTJk",2025-09-14 23:47:14,贊成論點,0,1
M-672,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,nmsl1999,大副一大成功,2025-09-14 23:48:01,其他想法,0,0
M-673,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,挺扯的,不是啊，會熬夜的只會熬的更晚，都想說可以晚點起床，那就晚點睡，有什麼差別，而且你讓那些家長送到學校的同學，要怎麼辦，公司基本七八點上班，10點上課，那他們七八點就要送去學校嗎？10點真的太誇張，8點半9點還差不多，而且以後出去工作，也是七八點上班啊🫠,2025-09-14 23:48:28,其他想法,0,1
M-674,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,楡,"我同意這個論點 但也不用到十點 也許8.9點
每天早上六點多就起床 7點35就遲到 早自修說不能考試 就說不算成績 現在每天早上寫一本題本 下課幾分鐘 接著上第一節 一節課上45分鐘 下課只有10分鐘 甚至有些老師打鐘了卻還在自顧自的上課 讓只有幾分鐘的下課時間更是雪上加霜；國一的只需要上到四點 國二之後就要上到五點 放學後去補習班寫功課上課寫進度等 寫到十幾點（我的經歷）回家後也不能放鬆 洗漱一下都11點了 有些人還要複習 每天都凌晨才睡 不可能睡夠八個小時 隔天上課就會想睡覺 聽不進去上課內容 這就是惡循環；我也因為學校的各種壓力得了憂鬱症 想問一下現在國高中學生患上憂鬱症的概率有多少 希望教育機構可以聽見我們的聲音 讓我有點時間休息吧 非常感謝",2025-09-14 23:48:49,其他想法,3,0
M-675,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,肉絲,"其實我覺得改成10點上課反而增加了老師和學生的壓力
上課時間被壓縮但教材沒有反而會讓老師上不完課，叫學生自己回家讀。加上108課綱推出的多元學習，讓一個禮拜的正課堂數減少很多了，再減少下去恐怕只會增加學生的負擔。而且沒有老師的講解，就自己讀一些完全沒接觸過的知識點反而需要花比平常更多時間，完全是反效果。
真正必須改的是教學的教材，有些教材其實放在日常生活中根本不會用到，教了以後也只會忘記。如果真的要改政策，就必須從源頭改吧？而不是治標不治本",2025-09-14 23:49:07,贊成論點,1,1
M-676,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Yin,是覺得如果要改10點不如放學改到18點這樣也不會有什麼慢性睡眠剝奪了,2025-09-14 23:49:53,其他想法,1,2
M-677,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Hanse,"我覺得9.就好
因為完整的睡眠時間只要九個小時
平常沒什麼事就早點睡（不要超過12.
晚睡大部分都是在玩手機
8.對於我們來說太早了
6.多就要起來趕捷運 忙不開來
到學校就已經很累了
10.又太晚了
上課的時間都被壓榨了 學習的東西不多
而且我是有想考台科大的人
對於上課也非常重要！！！
希望這個提議能通過",2025-09-14 23:50:03,其他想法,1,0
M-678,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,nmsl1999,有沒有打瓦的,2025-09-14 23:51:23,贊成論點,0,1
M-679,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,我是誰,個人覺得如果只說短上課時間沒有什麼意義，考試科目、要求、範圍不變、大學的招生標準不變，學生的壓力不會變小...只會有一堆人在課外時間去上補習班狂卷...,2025-09-14 23:51:40,贊成論點,1,1
M-680,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,家長一枚,"1、非必要的多元課程要如何定義？
2、10：00上課不但跟家長上班時間不一樣，而且要如何跟之後大學甚至職場上的時間銜接？
3、學生不只是學習課業知識，還有組織能力（時間及進度規劃）、責任感及抗壓性的養成，不然到職場上會有什麼競爭力呢？
4、上課時間縮短會不會讓學生的差距更大？補習班的角色也會更重要，學生努不努力、有沒有錢補習都會變成差距的原因，這真的台灣是未來想要的嗎？",2025-09-14 23:53:39,其他想法,2,1
M-681,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,可憐高中生,"我覺得這個決定很可以 我很同意
因為我是要坐校車去學校的啊每天6:00就要起床甚至更早 去等校車 都還沒有睡飽 睡好 每天睡前還要擔心如果明天沒有搭上校車怎麼辦 所以我覺得10:00到16:00這個時間很可以 因為到16:00我可以快點搭校車回家休息 吃飯 吃完飯我還可以 以一種很輕鬆的感覺去補習班補習 到10:00在很悠閑的騎回家 洗澡睡覺 還不用擔心明天搭不上校車怎麼辦？",2025-09-14 23:57:24,其他想法,2,0
M-682,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,"qween ",那麼早起去學校只會更累，半工半讀有搭校車的人16:40分才放學搭校車 等到回家也快到上班時間沒時間可以吃飯,2025-09-14 23:58:24,其他想法,1,0
M-683,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Jane,"乾脆都不要去比較好
大家都自行在家學習不是更好
現在的學生怎麼可以如此天馬行空
還說要美式教學 啊直接搬到國外不是更好😀？
生活真的是過太爽
讀個書壓力是可以多大？用嘴巴講誰不會？以後出社會每一個都草莓族？",2025-09-14 23:59:16,其他想法,0,3
M-684,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,陽,"會，而且很多人認為台灣學生的上課與學習時間偏長。
這裡的「上課」不只包含學校正課，還要加上補習與自習。

1. 正規課堂時間

國中：早上 7:30 左右到校，放學約 16:00&ndash;17:00，有時還要晚自習。

高中：常常到 17:00 才下課，很多學校還有夜自習（到 20:00&ndash;21:00）。

平均算起來，單純「學校時間」就有 8&ndash;10 小時/天。

2. 補習與額外學習

很多學生下課後還去補習班，上到 21:00&ndash;22:00。

回家還有作業、考試複習。

累積起來，學生一天可能有 12 小時以上都在學習相關活動。

3. 與其他國家比較

台灣學生的上課時數與學習總量，在 OECD（經濟合作暨發展組織）國家中屬於偏高。

但成效卻不一定相對突出，這也是「高壓、低效率」被批評的地方4. 後果與爭議

學生普遍睡眠不足，尤其高中生常只有 5&ndash;6 小時。

缺乏運動與休閒，影響身心健康。

社會對於「要不要縮短上課時間」有討論，但家長常擔心孩子輸在起跑點，所以改革不容易。

👉 總結：台灣學生的上課時間確實偏長，常常從早上七點到晚上十點都在學習。雖然制度在嘗試調整（像 108 課綱想減輕負擔），但「考試壓力＋補習文化」讓實際時數還是很高。

這是我叫Chatgpt幫我整理出來的給大家參考",2025-09-15 00:01:34,其他想法,2,0
M-685,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,爛草莓,笑死，根本沒用，這群學生只會更晚睡,2025-09-15 00:02:41,其他想法,1,4
M-686,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,yuka,每個人的生理時型不同，且有研究指出青少年普遍生理上傾向晚睡晚起。雖說不容易，成人還有能力選擇利於自己效率的工作時段（工作型態），但學生為了配合團體體制只能強制統一時間上下學，而目前的「在校時間」是配合成人的工時，對青少年而言並不是最能發揮能力的時段。先不論在校期間的長短，我認為延後上學有其科學意義。,2025-09-15 00:02:52,其他想法,2,0
M-687,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,一欸姆,"網路上都在吵 說現在學生爛草莓🍓
我認同10:00太晚這件事 或許可以更改為9:00？
一堆離學校很遠的學生早上5:00就要起床 功課又多 真正休息到的時間4個小時差不多了吧？",2025-09-15 00:03:00,其他想法,3,0
M-688,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,可,使用者已自行刪除留言,2025-09-15 00:03:28,其他想法,0,1
M-689,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,可,少子化已經減少很多升學壓力了 競爭還沒有之前大 不知道現在的草莓是在吵什麼,2025-09-15 00:06:07,贊成論點,0,2
M-690,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,星星,同意！可以比照歐美的教育，充足睡眠和身心健康對孩子來說最重要！,2025-09-15 00:06:29,其他想法,3,0
M-691,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"我覺得可以
現在6.起來
感覺好累
然後上到5.
超累",2025-09-15 00:06:49,其他想法,3,0
M-692,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,JM,"各位小朋友，別看那些上大學的哥哥姐姐在那邊反對
幾年前唉最大聲的也是他們喔
如今他們無法經歷到
或是出社會後看不慣你們那麼爽
便想把你們拖下去屎
如果你討厭他們
記得哦，長大千萬不要成為你討厭的那種人🤫",2025-09-15 00:07:26,其他想法,2,0
M-693,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,owo,每天學那些東西就累死累活腦容量已經爆炸，可能是我的問題，但8:00到17:00真的累，午休時間也很短，回家已經很想睡了吃完飯還要讀書洗澡，搞到很晚才睡又要6點多就起床。。,2025-09-15 00:08:00,其他想法,1,0
M-694,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"國高中生的睡眠品質跟上下學時間沒有直接關係吧？
就算提早放學、延後上學，也還是會有一大堆人玩手機玩到半夜然後隔天睡不飽
更何況現在很多國高中生並不具備自主規劃時間的能力，課餘時間通常都花費在手機，甚至是抽煙、喝酒、飆車上面（而且就算縮短在學校的時間，其他時間也可能會轉移到補習班上面）
對於家長來說，在下班與下課之間的空窗期，也會對孩子的安全感到擔心
給予自由的同時，現代國高中生也需要展現他們相對應的能力，才可以讓師長（乃至社會大眾）放心",2025-09-15 00:08:07,贊成論點,1,1
M-695,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,"我認同
現在每天要6.起來
上課又不能睡
根本很累
這樣根本沒心思學習",2025-09-15 00:11:50,其他想法,1,0
M-696,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,像素刀片快來玩,乾脆也把上班時間調晚點算了，國小大學也需要，再改個週休三日，完美,2025-09-15 00:13:13,其他想法,1,0
